"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","inorganic cation transmembrane transporter activity (GO:0022890)","54/497",3.21026981470046e-08,1.30497467967574e-05,5.96767580248787e-06,0.00161724014247421,-2.5846310436556,44.5960659860947,"COX7B;KCNG4;ATP2A3;ATP5C1;ATP5G3;COX6A1;ATP5G1;SLC8A1;SLC8A2;NNT;SLC39A6;UQCRFS1;SLC39A8;SCN5A;KCNH2;COX8A;SLC6A15;SLC39A11;CACNA2D2;SLC30A1;ATP1B2;KCNAB2;ATP1B1;SLC39A14;STIM1;KCNQ3;UQCRC1;GAS6;RHCG;ATP6V0D2;KCNE4;TTYH1;ATP5A1;ATP1A3;ITPR2;SLC1A4;SLC3A2;TRPM1;CACNG7;ATP5B;ATP6V1H;SLC17A7;ATP6V0A4;KCNN2;COX10;ATP6V1C1;TRPM4;SLC31A1;TRPV2;ATP2B4;ATP2B2;COX6C;MCOLN1;HCN2"
"2","cofactor binding (GO:0048037)","36/266",2.97561154038175e-08,1.30497467967574e-05,3.2281677723322e-06,0.00161724014247421,-2.49132315015116,43.1752061020421,"TSTA3;ACADVL;ALAS1;HPGD;ETFDH;OGDHL;SPTLC2;NNT;AIFM2;LDHD;ACADM;ME2;NDUFV1;DECR1;IDH3A;MDH1;GOT1;AADAT;IDH1;GSR;GOT2;ASNS;SDHA;SDHB;ETNPPL;QDPR;HADHB;HADHA;UGDH;EHHADH;OGDH;NDUFS2;SUCLG1;NOX5;GPD1L;ALDH9A1"
"3","NAD binding (GO:0051287)","14/50",7.1603173936663e-08,1.94044601368357e-05,4.22543268433613e-06,0.00161724014247421,-2.13972124403552,35.2029644430371,"MDH1;HPGD;IDH1;HADHB;QDPR;HADHA;UGDH;NNT;NDUFS2;ME2;GPD1L;NDUFV1;IDH3A;ALDH9A1"
"4","coenzyme binding (GO:0050662)","27/188",4.7690975489331e-07,9.69319076820653e-05,2.13725691972945e-05,0.00370799630441141,-2.36596285389265,34.4388099295315,"TSTA3;ACADVL;HPGD;ETFDH;OGDHL;NNT;AIFM2;LDHD;ACADM;ME2;NDUFV1;DECR1;IDH3A;MDH1;IDH1;GSR;SDHA;QDPR;HADHB;HADHA;UGDH;EHHADH;OGDH;NDUFS2;NOX5;GPD1L;ALDH9A1"
"5","ATPase activity, coupled to movement of substances (GO:0043492)","19/105",6.90384950205016e-07,0.000112256592903336,2.28044053161833e-05,0.00370799630441141,-2.36189202986046,33.5058392975485,"ABCC4;RALBP1;ABCB1;ATP8A1;ABCA3;ATP5A1;ATP10D;TAP2;ATP2B4;ATP2A3;ATP1A3;ATP5C1;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ABCD1;ATP6V1C1"
"6","ATPase activity, coupled to transmembrane movement of substances (GO:0042626)","18/104",2.6317450439669e-06,0.000356601453457514,6.2126310172584e-05,0.00841811502838513,-2.33851715951804,30.0449490637679,"ABCC4;ABCB1;ATP8A1;ABCA3;ATP5A1;ATP10D;TAP2;ATP2B4;ATP2A3;ATP5C1;ATP1A3;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ABCD1;ATP6V1C1"
"7","electron carrier activity (GO:0009055)","18/107",4.00673099416487e-06,0.000465353185465148,8.58739473020657e-05,0.00969525377590752,-2.32580293554266,28.90399706485,"COX8A;TSTA3;COX7B;GSR;ETFDH;CYBA;COX6A1;COX6C;SDHB;QDPR;UGDH;P4HA2;NDUFS3;NDUFS2;NDUFS1;ME2;CYC1;COX10"
"8","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)","18/108",4.59195414529013e-06,0.000466657340015109,9.54022511774417e-05,0.00969525377590752,-2.32345470347822,28.5580578009534,"ABCC4;ABCB1;ATP8A1;ABCA3;ATP5A1;ATP10D;TAP2;ATP2B4;ATP2A3;ATP5C1;ATP1A3;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ABCD1;ATP6V1C1"
"9","P-P-bond-hydrolysis-driven transmembrane transporter activity (GO:0015405)","18/111",6.83793763102005e-06,0.00055592432940193,0.0001298059908171,0.0105532270534303,-2.34565177452595,27.8968937595536,"ABCC4;ABCB1;ATP8A1;ABCA3;ATP5A1;ATP10D;TAP2;ATP2B4;ATP2A3;ATP1A3;ATP5C1;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ABCD1;ATP6V1C1"
"10","primary active transmembrane transporter activity (GO:0015399)","18/111",6.83793763102005e-06,0.00055592432940193,0.0001298059908171,0.0105532270534303,-2.3313551913555,27.7268641472463,"ABCC4;ABCB1;ATP8A1;ABCA3;ATP5A1;ATP10D;TAP2;ATP2B4;ATP2A3;ATP1A3;ATP5C1;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ABCD1;ATP6V1C1"
"11","hydrogen ion transmembrane transporter activity (GO:0015078)","17/104",1.0964843549792e-05,0.000810401618725539,0.000181960024637674,0.0125958150560708,-2.19637978210233,25.0844503334525,"COX8A;COX7B;ATP5A1;ATP5C1;ATP5G3;COX6A1;COX6C;ATP5G1;ATP5B;NNT;UQCRC1;UQCRFS1;ATP6V1H;ATP6V0A4;ATP6V0D2;COX10;ATP6V1C1"
"13","cation-transporting ATPase activity (GO:0019829)","13/65",1.27031159639283e-05,0.000860636106556143,0.000185916089388499,0.0125958150560708,-2.11848363708068,23.8830711104718,"ATP8A1;ATP5A1;ATP10D;ATP2B4;ATP2A3;ATP1A3;ATP5C1;ATP2B2;ATP1B2;ATP1B1;ATP5B;ATP6V1H;ATP6V1C1"
